group_column,accuracy_gap,f1_gap,roc_auc_gap,generator_model,classifier,noise,split
gender,0.04172530256121587,0.03177025527192012,0.039759482941301105,real_baseline,DecisionTree,20,70/30
race,0.09393939393939388,0.04453441295546562,0.07215197421275554,real_baseline,DecisionTree,20,70/30
gender,0.060793695468618014,0.07475276323443864,0.011809428519139353,real_baseline,RandomForest,20,70/30
race,0.03181818181818186,0.02530095898796164,0.051923944541988565,real_baseline,RandomForest,20,70/30
gender,0.07106670419363914,0.08183632734530938,0.05909139070296099,real_baseline,LogisticRegression,20,70/30
race,0.04166666666666674,0.09966777408637872,0.03703919606984274,real_baseline,LogisticRegression,20,70/30
gender,0.03658879819870531,0.14105636003750394,0.07610192837465568,GCS,DecisionTree,20,70/30
race,0.007575757575757569,0.05538964732650736,0.009326662514937745,GCS,DecisionTree,20,70/30
gender,0.02110892203771464,0.10714285714285715,0.08475438989385264,GCS,RandomForest,20,70/30
race,0.022727272727272707,0.24401913875598086,0.11190409383180899,GCS,RandomForest,20,70/30
gender,0.013087531663383056,0.21656050955414013,0.024059532065730416,GCS,LogisticRegression,20,70/30
race,0.04772727272727273,0.053658536585365874,0.07318869197141287,GCS,LogisticRegression,20,70/30
gender,0.10955530537573877,0.17089822914444208,0.11097425301970754,CTGAN,DecisionTree,20,70/30
race,0.0613636363636364,0.0423861852433281,0.04039242869159365,CTGAN,DecisionTree,20,70/30
gender,0.023993808049535548,0.0,0.05104606137663992,CTGAN,RandomForest,20,70/30
race,0.043939393939393945,0.0,0.0664588014120257,CTGAN,RandomForest,20,70/30
gender,0.037151702786377694,0.0,0.045337754531969365,CTGAN,LogisticRegression,20,70/30
race,0.040909090909090895,0.0,0.04823916544502671,CTGAN,LogisticRegression,20,70/30
gender,0.04334365325077394,0.010347376201034708,0.01753549480822192,TVAE,DecisionTree,20,70/30
race,0.006060606060605989,0.10227874933757286,0.035303516147611624,TVAE,DecisionTree,20,70/30
gender,0.06550802139037437,0.03882575757575757,0.03199378961259125,TVAE,RandomForest,20,70/30
race,0.028787878787878807,0.12641242937853103,0.0521494998015134,TVAE,RandomForest,20,70/30
gender,0.08133971291866038,0.10021786492374729,0.05954711610703356,TVAE,LogisticRegression,20,70/30
race,0.028787878787878807,0.08462427745664741,0.07881492430210513,TVAE,LogisticRegression,20,70/30
gender,0.0017790956263898927,0.07882777659800383,0.017506522555482185,real_baseline,DecisionTree,30,70/30
race,0.005968215781072983,0.007070707070707061,0.0023898475426642474,real_baseline,DecisionTree,30,70/30
gender,0.04210526315789476,0.137029702970297,0.04821121543887752,real_baseline,RandomForest,30,70/30
race,0.012121492516597665,0.13626373626373628,0.013269987876187717,real_baseline,RandomForest,30,70/30
gender,0.08791697553743516,0.16303809995051957,0.06597044877338626,real_baseline,LogisticRegression,30,70/30
race,0.014041499919035805,0.081759701182818,0.10791316123182426,real_baseline,LogisticRegression,30,70/30
gender,0.0643439584877687,0.021545827633378978,0.04264836715877107,GCS,DecisionTree,30,70/30
race,0.0010641004880982408,0.012340301974448298,0.005300325262455496,GCS,DecisionTree,30,70/30
gender,0.0870274277242401,0.06005398110661267,0.0470957375792137,GCS,RandomForest,30,70/30
race,0.07039256054963094,0.04047619047619047,0.06617697790320831,GCS,RandomForest,30,70/30
gender,0.06182357301704966,0.08695652173913043,0.026092584844114808,GCS,LogisticRegression,30,70/30
race,0.007009183649864692,0.031496062992125984,0.034292274270945056,GCS,LogisticRegression,30,70/30
gender,0.018532246108228345,0.07619047619047614,0.030313312290056516,CTGAN,DecisionTree,30,70/30
race,0.02509889194753523,0.0011934011934011668,0.01787962473184812,CTGAN,DecisionTree,30,70/30
gender,0.015567086730911783,0.16213991769547326,0.07623309046197668,CTGAN,RandomForest,30,70/30
race,0.012838603715098595,0.16281345565749236,0.09204825782725168,CTGAN,RandomForest,30,70/30
gender,0.0011860637509265581,0.037495815199196536,0.035666785054789873,CTGAN,LogisticRegression,30,70/30
race,0.049457540077262996,0.045226449850727296,0.06955009674077961,CTGAN,LogisticRegression,30,70/30
gender,0.0289103039288362,0.012997903563941315,0.023345422978225838,TVAE,DecisionTree,30,70/30
race,0.06280506141710429,0.2694677871148459,0.09585885629939178,TVAE,DecisionTree,30,70/30
gender,0.09280948851000748,0.10523038605230385,0.05324873914225192,TVAE,RandomForest,30,70/30
race,0.007541233893913812,0.12472766884531591,0.25542451027518315,TVAE,RandomForest,30,70/30
gender,0.10051890289103038,0.1830065359477124,0.037302589016175336,TVAE,LogisticRegression,30,70/30
race,0.01152004441462906,0.148033526756931,0.16488281997455906,TVAE,LogisticRegression,30,70/30
gender,0.03338068181818177,0.07705689725747034,0.03399804413990726,real_baseline,DecisionTree,40,70/30
race,0.0275509495940226,0.01764400622729634,0.02566520336149314,real_baseline,DecisionTree,40,70/30
gender,0.058948863636363646,0.09593533135056814,0.04008286350868956,real_baseline,RandomForest,40,70/30
race,0.0341437460963705,0.07393483709273185,0.02749870683434097,real_baseline,RandomForest,40,70/30
gender,0.06676136363636365,0.1598779557589626,0.027805465278171237,real_baseline,LogisticRegression,40,70/30
race,0.008258345092414854,0.017137668823062058,0.011783557253790211,real_baseline,LogisticRegression,40,70/30
gender,0.07481060606060608,0.08244680851063829,0.07966016804409948,GCS,DecisionTree,40,70/30
race,0.016979342570959288,0.010888680108886772,0.01404952060689768,GCS,DecisionTree,40,70/30
gender,0.0558712121212121,0.014379084967320266,0.024647656812828322,GCS,RandomForest,40,70/30
race,0.0500589881792316,0.07016310461192349,0.046526836216223666,GCS,RandomForest,40,70/30
gender,0.04166666666666663,0.19192768551608153,0.0016241075692695617,GCS,LogisticRegression,40,70/30
race,0.015013069929908252,0.056608187134502885,0.0012224234398523492,GCS,LogisticRegression,40,70/30
gender,0.01302083333333337,0.03975280980087459,0.028749246189462396,CTGAN,DecisionTree,40,70/30
race,0.05158574105345953,0.007173147112808365,0.0452071751467783,CTGAN,DecisionTree,40,70/30
gender,0.09280303030303028,0.06666666666666665,0.0693602703397308,CTGAN,RandomForest,40,70/30
race,0.0030766383677623965,0.003549245785270605,0.036716528606088594,CTGAN,RandomForest,40,70/30
gender,0.04474431818181818,0.041849651252906184,0.12379415609645528,CTGAN,LogisticRegression,40,70/30
race,0.011311850840870719,0.010842572062084277,0.011009554150192558,CTGAN,LogisticRegression,40,70/30
gender,0.1633522727272727,0.06578947368421051,0.14670296424610857,TVAE,DecisionTree,40,70/30
race,0.0013879571583890193,0.036110829874118344,0.00354590764426832,TVAE,DecisionTree,40,70/30
gender,0.12097537878787884,0.013513513513513487,0.04834394401767872,TVAE,RandomForest,40,70/30
race,0.04651969742533946,0.08164983164983164,0.08963215626287213,TVAE,RandomForest,40,70/30
gender,0.03432765151515149,0.00468706920319828,0.002225739442605068,TVAE,LogisticRegression,40,70/30
race,0.04499294455111147,0.01568420125121156,0.062146433759893704,TVAE,LogisticRegression,40,70/30
gender,0.03935933907486061,0.06666666666666665,0.042380329094988844,real_baseline,DecisionTree,50,70/30
race,0.03505631386589092,0.008030962747943904,0.03638626786015697,real_baseline,DecisionTree,50,70/30
gender,0.0068976267487627085,0.05401174168297451,0.0029454157317377327,real_baseline,RandomForest,50,70/30
race,0.023942716491385074,0.08268733850129206,0.046340960667307196,real_baseline,RandomForest,50,70/30
gender,0.09309847628697243,0.04096224523889075,0.01955793443031667,real_baseline,LogisticRegression,50,70/30
race,0.030058924442455393,0.1863412031479258,0.031429806861570264,real_baseline,LogisticRegression,50,70/30
gender,0.006157203538443623,0.05282644375739526,0.00975637309897781,GCS,DecisionTree,50,70/30
race,0.03610054449168343,0.04660274255077845,0.03991230758001629,GCS,DecisionTree,50,70/30
gender,0.02556408557733525,0.09623383065593161,0.058406958987783475,GCS,RandomForest,50,70/30
race,0.017751920638472418,0.09393939393939388,0.04407172856411823,GCS,RandomForest,50,70/30
gender,0.008768169595884778,0.1662693006357857,0.021381045873847038,GCS,LogisticRegression,50,70/30
race,0.07272320429626317,0.26828782140721547,0.05715941130792768,GCS,LogisticRegression,50,70/30
gender,0.010638712443006904,0.0940325497287523,0.022192875841436033,CTGAN,DecisionTree,50,70/30
race,0.07675095099574847,0.09245283018867928,0.05486537156449511,CTGAN,DecisionTree,50,70/30
gender,0.013990101710767311,0.039603960396039604,0.06089114310645727,CTGAN,RandomForest,50,70/30
race,0.055418811068844664,0.047619047619047616,1.5469932960865407e-05,CTGAN,RandomForest,50,70/30
gender,0.02630450878765439,0.0,0.06769898404387936,CTGAN,LogisticRegression,50,70/30
race,0.0503468337435668,0.0,0.10076138749330965,CTGAN,LogisticRegression,50,70/30
gender,0.0919683566501695,0.1045310853530032,0.09164251433557719,TVAE,DecisionTree,50,70/30
race,0.07682553889759075,0.08311603650586707,0.08376281809377695,TVAE,DecisionTree,50,70/30
gender,0.06063676396087453,0.021439811172305256,0.033976486537023176,TVAE,RandomForest,50,70/30
race,0.017751920638472418,0.027666847704546194,0.027794681218040018,TVAE,RandomForest,50,70/30
gender,0.0516737461517478,0.09579831932773109,0.07379705809025172,TVAE,LogisticRegression,50,70/30
race,0.03714477511747599,0.05205217183199712,0.0325134189224795,TVAE,LogisticRegression,50,70/30
