group_value,n_samples,accuracy,f1,roc_auc,group_column,generator_model,classifier,noise,split
0,75,0.7066666666666667,0.21428571428571427,0.6741622574955909,gender,GCS,RandomForest,10,70/30
1,125,0.672,0.1276595744680851,0.6297604422604423,race,GCS,RandomForest,10,70/30
0,325,0.7169230769230769,0.20689655172413793,0.6520651382823871,race,GCS,RandomForest,10,70/30
1,375,0.704,0.2127659574468085,0.6765344921238459,gender,GCS,LogisticRegression,10,70/30
0,75,0.72,0.0,0.6701940035273368,gender,GCS,LogisticRegression,10,70/30
1,125,0.696,0.05,0.6200859950859952,race,GCS,LogisticRegression,10,70/30
0,325,0.7107692307692308,0.22950819672131148,0.6941866812227074,race,GCS,LogisticRegression,10,70/30
1,375,0.6426666666666667,0.21176470588235294,0.5043115154807171,gender,CTGAN,DecisionTree,10,70/30
0,75,0.6266666666666667,0.44,0.5952380952380953,gender,CTGAN,DecisionTree,10,70/30
1,125,0.688,0.3157894736842105,0.5591216216216216,race,CTGAN,DecisionTree,10,70/30
0,325,0.6215384615384615,0.24539877300613497,0.5015465793304221,race,CTGAN,DecisionTree,10,70/30
1,375,0.7013333333333334,0.0,0.5189604834329169,gender,CTGAN,RandomForest,10,70/30
0,75,0.72,0.0,0.5189594356261023,gender,CTGAN,RandomForest,10,70/30
1,125,0.704,0.0,0.5363943488943489,race,CTGAN,RandomForest,10,70/30
0,325,0.7046153846153846,0.0,0.5044577874818049,race,CTGAN,RandomForest,10,70/30
1,375,0.7013333333333334,0.0,0.5712927756653993,gender,CTGAN,LogisticRegression,10,70/30
0,75,0.72,0.0,0.4955908289241623,gender,CTGAN,LogisticRegression,10,70/30
1,125,0.704,0.0,0.5304054054054055,race,CTGAN,LogisticRegression,10,70/30
0,325,0.7046153846153846,0.0,0.5792849344978166,race,CTGAN,LogisticRegression,10,70/30
1,375,0.6026666666666667,0.39183673469387753,0.5526887561108094,gender,TVAE,DecisionTree,10,70/30
0,75,0.6,0.3181818181818182,0.5185185185185185,gender,TVAE,DecisionTree,10,70/30
1,125,0.624,0.38961038961038963,0.560657248157248,race,TVAE,DecisionTree,10,70/30
0,325,0.5938461538461538,0.37735849056603776,0.5423944687045124,race,TVAE,DecisionTree,10,70/30
1,375,0.688,0.3236994219653179,0.6416519554589896,gender,TVAE,RandomForest,10,70/30
0,75,0.72,0.16,0.615079365079365,gender,TVAE,RandomForest,10,70/30
1,125,0.688,0.1702127659574468,0.6394348894348894,race,TVAE,RandomForest,10,70/30
0,325,0.6953846153846154,0.3443708609271523,0.6370769650655022,race,TVAE,RandomForest,10,70/30
1,375,0.728,0.41379310344827586,0.6670966865833785,gender,TVAE,LogisticRegression,10,70/30
0,75,0.72,0.16,0.673721340388007,gender,TVAE,LogisticRegression,10,70/30
1,125,0.736,0.26666666666666666,0.6286855036855037,race,TVAE,LogisticRegression,10,70/30
0,325,0.7230769230769231,0.4155844155844156,0.6808588064046579,race,TVAE,LogisticRegression,10,70/30
1,374,0.5240641711229946,0.34558823529411764,0.48588154269972456,gender,real_baseline,DecisionTree,20,70/30
0,76,0.5657894736842105,0.37735849056603776,0.5256410256410257,gender,real_baseline,DecisionTree,20,70/30
0,330,0.5060606060606061,0.340080971659919,0.47277742244963217,race,real_baseline,DecisionTree,20,70/30
1,120,0.6,0.38461538461538464,0.5449293966623877,race,real_baseline,DecisionTree,20,70/30
1,374,0.6497326203208557,0.31413612565445026,0.5839437766090658,gender,real_baseline,RandomForest,20,70/30
0,76,0.7105263157894737,0.3888888888888889,0.5957532051282052,gender,real_baseline,RandomForest,20,70/30
0,330,0.6515151515151515,0.31952662721893493,0.5722737448033259,race,real_baseline,RandomForest,20,70/30
1,120,0.6833333333333333,0.3448275862068966,0.6241976893453145,race,real_baseline,RandomForest,20,70/30
1,374,0.6657754010695187,0.25149700598802394,0.6043701477585774,gender,real_baseline,LogisticRegression,20,70/30
0,76,0.7368421052631579,0.3333333333333333,0.6634615384615384,gender,real_baseline,LogisticRegression,20,70/30
0,330,0.6666666666666666,0.2857142857142857,0.6214422769427568,race,real_baseline,LogisticRegression,20,70/30
1,120,0.7083333333333334,0.18604651162790697,0.584403080872914,race,real_baseline,LogisticRegression,20,70/30
1,374,0.4839572192513369,0.4169184290030212,0.4927685950413223,gender,GCS,DecisionTree,20,70/30
0,76,0.4473684210526316,0.27586206896551724,0.41666666666666663,gender,GCS,DecisionTree,20,70/30
0,330,0.47575757575757577,0.40955631399317405,0.48301087304125356,race,GCS,DecisionTree,20,70/30
1,120,0.48333333333333334,0.3541666666666667,0.4736842105263158,race,GCS,DecisionTree,20,70/30
1,374,0.6631016042780749,0.25,0.6043858001502629,gender,GCS,RandomForest,20,70/30
0,76,0.6842105263157895,0.14285714285714285,0.5196314102564102,gender,GCS,RandomForest,20,70/30
0,330,0.6727272727272727,0.2894736842105263,0.6188039654621043,race,GCS,RandomForest,20,70/30
1,120,0.65,0.045454545454545456,0.5068998716302953,race,GCS,RandomForest,20,70/30
1,374,0.6711229946524064,0.21656050955414013,0.6097545704983721,gender,GCS,LogisticRegression,20,70/30
0,76,0.6842105263157895,0.0,0.6338141025641025,gender,GCS,LogisticRegression,20,70/30
0,330,0.6606060606060606,0.2,0.6312759833706427,race,GCS,LogisticRegression,20,70/30
1,120,0.7083333333333334,0.14634146341463414,0.5580872913992299,race,GCS,LogisticRegression,20,70/30
1,374,0.5614973262032086,0.24770642201834864,0.4803719008264463,gender,CTGAN,DecisionTree,20,70/30
0,76,0.6710526315789473,0.4186046511627907,0.5913461538461539,gender,CTGAN,DecisionTree,20,70/30
0,330,0.5636363636363636,0.2653061224489796,0.48752798209146153,race,CTGAN,DecisionTree,20,70/30
1,120,0.625,0.3076923076923077,0.5279204107830552,race,CTGAN,DecisionTree,20,70/30
1,374,0.6470588235294118,0.0,0.5334178562484347,gender,CTGAN,RandomForest,20,70/30
0,76,0.6710526315789473,0.0,0.4823717948717948,gender,CTGAN,RandomForest,20,70/30
0,330,0.6393939393939394,0.0,0.5433522545570835,race,CTGAN,RandomForest,20,70/30
1,120,0.6833333333333333,0.0,0.47689345314505777,race,CTGAN,RandomForest,20,70/30
1,374,0.6470588235294118,0.0,0.5180941647883797,gender,CTGAN,LogisticRegression,20,70/30
0,76,0.6842105263157895,0.0,0.4727564102564103,gender,CTGAN,LogisticRegression,20,70/30
0,330,0.6424242424242425,0.0,0.5283418612088264,race,CTGAN,LogisticRegression,20,70/30
1,120,0.6833333333333333,0.0,0.4801026957637997,race,CTGAN,LogisticRegression,20,70/30
1,374,0.5882352941176471,0.37398373983739835,0.5337465564738293,gender,TVAE,DecisionTree,20,70/30
0,76,0.631578947368421,0.36363636363636365,0.5512820512820512,gender,TVAE,DecisionTree,20,70/30
0,330,0.593939393939394,0.3963963963963964,0.5449312440038375,race,TVAE,DecisionTree,20,70/30
1,120,0.6,0.29411764705882354,0.5096277278562259,race,TVAE,DecisionTree,20,70/30
1,374,0.6844919786096256,0.3854166666666667,0.5910030052592037,gender,TVAE,RandomForest,20,70/30
0,76,0.75,0.42424242424242425,0.6229967948717949,gender,TVAE,RandomForest,20,70/30
0,330,0.6878787878787879,0.4180790960451977,0.6081507834985609,race,TVAE,RandomForest,20,70/30
1,120,0.7166666666666667,0.2916666666666667,0.5560012836970475,race,TVAE,RandomForest,20,70/30
1,374,0.6818181818181818,0.37037037037037035,0.6127285249186074,gender,TVAE,LogisticRegression,20,70/30
0,76,0.7631578947368421,0.47058823529411764,0.672275641025641,gender,TVAE,LogisticRegression,20,70/30
0,330,0.6878787878787879,0.4046242774566474,0.6397905340582027,race,TVAE,LogisticRegression,20,70/30
1,120,0.7166666666666667,0.32,0.5609756097560976,race,TVAE,LogisticRegression,20,70/30
1,355,0.5070422535211268,0.36823104693140796,0.4822698638488112,gender,real_baseline,DecisionTree,30,70/30
0,95,0.5052631578947369,0.4470588235294118,0.4997763864042934,gender,real_baseline,DecisionTree,30,70/30
1,139,0.5107913669064749,0.38181818181818183,0.4888108819657745,race,real_baseline,DecisionTree,30,70/30
0,311,0.5048231511254019,0.3888888888888889,0.48642103442311024,race,real_baseline,DecisionTree,30,70/30
1,355,0.6,0.297029702970297,0.5521912890333943,gender,real_baseline,RandomForest,30,70/30
0,95,0.5578947368421052,0.16,0.6004025044722718,gender,real_baseline,RandomForest,30,70/30
1,139,0.5827338129496403,0.17142857142857143,0.5468407196138658,race,real_baseline,RandomForest,30,70/30
0,311,0.594855305466238,0.3076923076923077,0.5601107074900535,race,real_baseline,RandomForest,30,70/30
1,355,0.6563380281690141,0.29069767441860467,0.5619454040506671,gender,real_baseline,LogisticRegression,30,70/30
0,95,0.5684210526315789,0.1276595744680851,0.4959749552772808,gender,real_baseline,LogisticRegression,30,70/30
1,139,0.6474820143884892,0.19672131147540983,0.4629223343571742,race,real_baseline,LogisticRegression,30,70/30
0,311,0.6334405144694534,0.27848101265822783,0.5708354955889985,race,real_baseline,LogisticRegression,30,70/30
1,355,0.5380281690140845,0.39705882352941174,0.511566077355551,gender,GCS,DecisionTree,30,70/30
0,95,0.47368421052631576,0.4186046511627907,0.46891771019677997,gender,GCS,DecisionTree,30,70/30
1,139,0.5251798561151079,0.4107142857142857,0.5076788064940764,race,GCS,DecisionTree,30,70/30
0,311,0.5241157556270096,0.3983739837398374,0.5023784812316209,race,GCS,DecisionTree,30,70/30
1,355,0.6028169014084507,0.17543859649122806,0.524063537221432,gender,GCS,RandomForest,30,70/30
0,95,0.5157894736842106,0.11538461538461539,0.47696779964221825,gender,GCS,RandomForest,30,70/30
1,139,0.6330935251798561,0.19047619047619047,0.5666959192628347,race,GCS,RandomForest,30,70/30
0,311,0.5627009646302251,0.15,0.5005189413596264,race,GCS,RandomForest,30,70/30
1,355,0.6197183098591549,0.0,0.5251981304612883,gender,GCS,LogisticRegression,30,70/30
0,95,0.5578947368421052,0.08695652173913043,0.49910554561717346,gender,GCS,LogisticRegression,30,70/30
1,139,0.6115107913669064,0.0,0.5478279947345327,race,GCS,LogisticRegression,30,70/30
0,311,0.6045016077170418,0.031496062992125984,0.5135357204635876,race,GCS,LogisticRegression,30,70/30
1,355,0.5183098591549296,0.4,0.5003217503217503,gender,CTGAN,DecisionTree,30,70/30
0,95,0.5368421052631579,0.47619047619047616,0.5306350626118068,gender,CTGAN,DecisionTree,30,70/30
1,139,0.539568345323741,0.41818181818181815,0.5193067134708206,race,CTGAN,DecisionTree,30,70/30
0,311,0.5144694533762058,0.416988416988417,0.5014270887389725,race,CTGAN,DecisionTree,30,70/30
1,355,0.5633802816901409,0.36213991769547327,0.5402695929011718,gender,CTGAN,RandomForest,30,70/30
0,95,0.5789473684210527,0.2,0.6165026833631485,gender,CTGAN,RandomForest,30,70/30
1,139,0.5755395683453237,0.21333333333333335,0.475976305397104,race,CTGAN,RandomForest,30,70/30
0,311,0.5627009646302251,0.3761467889908257,0.5680245632243557,race,CTGAN,RandomForest,30,70/30
1,355,0.5380281690140845,0.20388349514563106,0.48960238433922637,gender,CTGAN,LogisticRegression,30,70/30
0,95,0.5368421052631579,0.2413793103448276,0.4539355992844365,gender,CTGAN,LogisticRegression,30,70/30
1,139,0.5035971223021583,0.24175824175824176,0.4333040807371654,race,CTGAN,LogisticRegression,30,70/30
0,311,0.5530546623794212,0.19653179190751446,0.502854177477945,race,CTGAN,LogisticRegression,30,70/30
1,355,0.6394366197183099,0.28888888888888886,0.5504470636049584,gender,TVAE,DecisionTree,30,70/30
0,95,0.6105263157894737,0.3018867924528302,0.5737924865831843,gender,TVAE,DecisionTree,30,70/30
1,139,0.5899280575539568,0.09523809523809523,0.48760421237384816,race,TVAE,DecisionTree,30,70/30
0,311,0.6527331189710611,0.36470588235294116,0.5834630686732399,race,TVAE,DecisionTree,30,70/30
1,355,0.6507042253521127,0.1506849315068493,0.5789643026485132,gender,TVAE,RandomForest,30,70/30
0,95,0.5578947368421052,0.045454545454545456,0.5257155635062613,gender,TVAE,RandomForest,30,70/30
1,139,0.6258992805755396,0.037037037037037035,0.38043001316366826,race,TVAE,RandomForest,30,70/30
0,311,0.6334405144694534,0.16176470588235295,0.6358545234388514,race,TVAE,RandomForest,30,70/30
1,355,0.647887323943662,0.1830065359477124,0.5932059879428301,gender,TVAE,LogisticRegression,30,70/30
0,95,0.5473684210526316,0.0,0.5559033989266547,gender,TVAE,LogisticRegression,30,70/30
1,139,0.6187050359712231,0.03636363636363636,0.4618253620008776,race,TVAE,LogisticRegression,30,70/30
0,311,0.6302250803858521,0.18439716312056736,0.6267081819754367,race,TVAE,LogisticRegression,30,70/30
1,384,0.5182291666666666,0.4699140401146132,0.514696573551672,gender,real_baseline,DecisionTree,40,70/30
0,66,0.48484848484848486,0.39285714285714285,0.4806985294117647,gender,real_baseline,DecisionTree,40,70/30
0,311,0.5048231511254019,0.45390070921985815,0.5005012531328321,race,real_baseline,DecisionTree,40,70/30
1,139,0.5323741007194245,0.4715447154471545,0.5261664564943253,race,real_baseline,DecisionTree,40,70/30
1,384,0.5286458333333334,0.35125448028673834,0.4950460988028072,gender,real_baseline,RandomForest,40,70/30
0,66,0.4696969696969697,0.2553191489361702,0.45496323529411764,gender,real_baseline,RandomForest,40,70/30
0,311,0.5305466237942122,0.35964912280701755,0.4987050960735171,race,real_baseline,RandomForest,40,70/30
1,139,0.49640287769784175,0.2857142857142857,0.4712063892391761,race,real_baseline,RandomForest,40,70/30
1,384,0.5364583333333334,0.22608695652173913,0.4694371817806523,gender,real_baseline,LogisticRegression,40,70/30
0,66,0.4696969696969697,0.38596491228070173,0.49724264705882354,gender,real_baseline,LogisticRegression,40,70/30
0,311,0.5241157556270096,0.25252525252525254,0.4844611528822055,race,real_baseline,LogisticRegression,40,70/30
1,139,0.5323741007194245,0.2696629213483146,0.47267759562841527,race,real_baseline,LogisticRegression,40,70/30
1,384,0.46875,0.4574468085106383,0.47304252098527594,gender,GCS,DecisionTree,40,70/30
0,66,0.3939393939393939,0.375,0.39338235294117646,gender,GCS,DecisionTree,40,70/30
0,311,0.4630225080385852,0.44884488448844884,0.4650793650793651,race,GCS,DecisionTree,40,70/30
1,139,0.4460431654676259,0.43795620437956206,0.4510298444724674,race,GCS,DecisionTree,40,70/30
1,384,0.5104166666666666,0.38562091503267976,0.49431677445988714,gender,GCS,RandomForest,40,70/30
0,66,0.45454545454545453,0.4,0.4696691176470588,gender,GCS,RandomForest,40,70/30
0,311,0.5176848874598071,0.4094488188976378,0.5041771094402674,race,GCS,RandomForest,40,70/30
1,139,0.4676258992805755,0.3392857142857143,0.4576502732240437,race,GCS,RandomForest,40,70/30
1,384,0.5416666666666666,0.34328358208955223,0.5282785193339755,gender,GCS,LogisticRegression,40,70/30
0,66,0.5,0.5352112676056338,0.526654411764706,gender,GCS,LogisticRegression,40,70/30
0,311,0.5401929260450161,0.36444444444444446,0.5338763575605681,race,GCS,LogisticRegression,40,70/30
1,139,0.5251798561151079,0.42105263157894735,0.5350987810004204,race,GCS,LogisticRegression,40,70/30
1,384,0.5130208333333334,0.5472154963680388,0.5296683638365213,gender,CTGAN,DecisionTree,40,70/30
0,66,0.5,0.5074626865671642,0.5009191176470589,gender,CTGAN,DecisionTree,40,70/30
0,311,0.49517684887459806,0.5395894428152492,0.5098579782790309,race,CTGAN,DecisionTree,40,70/30
1,139,0.5467625899280576,0.5467625899280576,0.5550651534258092,race,CTGAN,DecisionTree,40,70/30
1,384,0.4375,0.6,0.45315811201321043,gender,CTGAN,RandomForest,40,70/30
0,66,0.5303030303030303,0.6666666666666666,0.5225183823529412,gender,CTGAN,RandomForest,40,70/30
0,311,0.45016077170418006,0.6086956521739131,0.47009189640768584,race,CTGAN,RandomForest,40,70/30
1,139,0.45323741007194246,0.6122448979591837,0.43337536780159724,race,CTGAN,RandomForest,40,70/30
1,384,0.4401041666666667,0.6112115732368897,0.4331911380211917,gender,CTGAN,LogisticRegression,40,70/30
0,66,0.48484848484848486,0.6530612244897959,0.556985294117647,gender,CTGAN,LogisticRegression,40,70/30
0,311,0.45016077170418006,0.6208425720620843,0.4461152882205514,race,CTGAN,LogisticRegression,40,70/30
1,139,0.43884892086330934,0.61,0.45712484237074397,race,CTGAN,LogisticRegression,40,70/30
1,384,0.5572916666666666,0.4407894736842105,0.540085317187285,gender,TVAE,DecisionTree,40,70/30
0,66,0.3939393939393939,0.375,0.39338235294117646,gender,TVAE,DecisionTree,40,70/30
0,311,0.5337620578778135,0.41767068273092367,0.5190476190476191,race,TVAE,DecisionTree,40,70/30
1,139,0.5323741007194245,0.453781512605042,0.5225935266918874,race,TVAE,DecisionTree,40,70/30
1,384,0.5755208333333334,0.37065637065637064,0.5667262969588551,gender,TVAE,RandomForest,40,70/30
0,66,0.45454545454545453,0.35714285714285715,0.5183823529411764,gender,TVAE,RandomForest,40,70/30
0,311,0.5434083601286174,0.3425925925925926,0.5389933166248957,race,TVAE,RandomForest,40,70/30
1,139,0.5899280575539568,0.42424242424242425,0.6286254728877678,race,TVAE,RandomForest,40,70/30
1,384,0.5494791666666666,0.37992831541218636,0.5520022017338655,gender,TVAE,LogisticRegression,40,70/30
0,66,0.5151515151515151,0.38461538461538464,0.5542279411764706,gender,TVAE,LogisticRegression,40,70/30
0,311,0.5305466237942122,0.37606837606837606,0.5364243943191311,race,TVAE,LogisticRegression,40,70/30
1,139,0.5755395683453237,0.3917525773195876,0.5985708280790248,race,TVAE,LogisticRegression,40,70/30
0,67,0.5223880597014925,0.5428571428571428,0.5254464285714286,gender,real_baseline,DecisionTree,50,70/30
1,383,0.4830287206266319,0.47619047619047616,0.4830660994764398,gender,real_baseline,DecisionTree,50,70/30
1,123,0.4634146341463415,0.49230769230769234,0.46172248803827753,race,real_baseline,DecisionTree,50,70/30
0,327,0.4984709480122324,0.48427672955974843,0.4981087558984345,race,real_baseline,DecisionTree,50,70/30
0,67,0.4925373134328358,0.5142857142857142,0.4861607142857143,gender,real_baseline,RandomForest,50,70/30
1,383,0.4856396866840731,0.4602739726027397,0.489106130017452,gender,real_baseline,RandomForest,50,70/30
1,123,0.5040650406504065,0.5271317829457365,0.5187400318979266,race,real_baseline,RandomForest,50,70/30
0,327,0.4801223241590214,0.4444444444444444,0.4723990712306194,race,real_baseline,RandomForest,50,70/30
0,67,0.40298507462686567,0.5121951219512195,0.4973214285714285,gender,real_baseline,LogisticRegression,50,70/30
1,383,0.4960835509138381,0.4712328767123288,0.5168793630017452,gender,real_baseline,LogisticRegression,50,70/30
1,123,0.5040650406504065,0.6013071895424836,0.5196703880914407,race,real_baseline,LogisticRegression,50,70/30
0,327,0.4740061162079511,0.41496598639455784,0.48824058122987046,race,real_baseline,LogisticRegression,50,70/30
0,67,0.5074626865671642,0.5352112676056338,0.5111607142857143,gender,GCS,DecisionTree,50,70/30
1,383,0.5013054830287206,0.4823848238482385,0.5014043411867365,gender,GCS,DecisionTree,50,70/30
1,123,0.5284552845528455,0.5245901639344263,0.5318979266347688,race,GCS,DecisionTree,50,70/30
0,327,0.4923547400611621,0.4779874213836478,0.49198561905475247,race,GCS,DecisionTree,50,70/30
0,67,0.5373134328358209,0.5753424657534246,0.575,gender,GCS,RandomForest,50,70/30
1,383,0.5117493472584856,0.479108635097493,0.5165930410122165,gender,GCS,RandomForest,50,70/30
1,123,0.5284552845528455,0.5606060606060606,0.5483785220627325,race,GCS,RandomForest,50,70/30
0,327,0.5107033639143731,0.4666666666666667,0.5043067934986143,race,GCS,RandomForest,50,70/30
0,67,0.4925373134328358,0.6458333333333334,0.5517857142857143,gender,GCS,LogisticRegression,50,70/30
1,383,0.5013054830287206,0.47956403269754766,0.5304046684118673,gender,GCS,LogisticRegression,50,70/30
1,123,0.5528455284552846,0.6820809248554913,0.5523657628920787,race,GCS,LogisticRegression,50,70/30
0,327,0.4801223241590214,0.41379310344827586,0.49520635158415105,race,GCS,LogisticRegression,50,70/30
0,67,0.47761194029850745,0.2857142857142857,0.46651785714285715,gender,CTGAN,DecisionTree,50,70/30
1,383,0.48825065274151436,0.379746835443038,0.4887107329842932,gender,CTGAN,DecisionTree,50,70/30
1,123,0.43089430894308944,0.3,0.446969696969697,race,CTGAN,DecisionTree,50,70/30
0,327,0.5076452599388379,0.39245283018867927,0.5018350685341921,race,CTGAN,DecisionTree,50,70/30
0,67,0.5074626865671642,0.0,0.546875,gender,CTGAN,RandomForest,50,70/30
1,383,0.4934725848563969,0.039603960396039604,0.48598385689354273,gender,CTGAN,RandomForest,50,70/30
1,123,0.45528455284552843,0.0,0.4984051036682616,race,CTGAN,RandomForest,50,70/30
0,327,0.5107033639143731,0.047619047619047616,0.4983896337353007,race,CTGAN,RandomForest,50,70/30
0,67,0.5223880597014925,0.0,0.42589285714285713,gender,CTGAN,LogisticRegression,50,70/30
1,383,0.4960835509138381,0.0,0.4935918411867365,gender,CTGAN,LogisticRegression,50,70/30
1,123,0.4634146341463415,0.0,0.5938330675172779,race,CTGAN,LogisticRegression,50,70/30
0,327,0.5137614678899083,0.0,0.4930716800239683,race,CTGAN,LogisticRegression,50,70/30
0,67,0.5671641791044776,0.5538461538461539,0.5669642857142857,gender,TVAE,DecisionTree,50,70/30
1,383,0.4751958224543081,0.44931506849315067,0.4753217713787085,gender,TVAE,DecisionTree,50,70/30
1,123,0.5447154471544715,0.5254237288135594,0.5506379585326954,race,TVAE,DecisionTree,50,70/30
