train_source,generator_model,classifier,noise,split,accuracy,f1,roc_auc
synthetic,GCS,LogisticRegression,40,70/30,0.5355555555555556,0.3834808259587021,0.5329177406141982
synthetic,CTGAN,DecisionTree,40,70/30,0.5111111111111111,0.5416666666666666,0.5241862974285201
synthetic,CTGAN,RandomForest,40,70/30,0.45111111111111113,0.6097946287519748,0.4591200623389079
synthetic,CTGAN,LogisticRegression,40,70/30,0.44666666666666666,0.6175115207373272,0.4491398429539052
synthetic,TVAE,DecisionTree,40,70/30,0.5333333333333333,0.42934782608695654,0.5198105856260864
synthetic,TVAE,RandomForest,40,70/30,0.5577777777777778,0.3682539682539683,0.5642670183220445
synthetic,TVAE,LogisticRegression,40,70/30,0.5444444444444444,0.3806646525679758,0.556015105196907
real,real_baseline,DecisionTree,50,70/30,0.4888888888888889,0.48660714285714285,0.4888787926675095
real,real_baseline,RandomForest,50,70/30,0.4866666666666667,0.4689655172413793,0.4876935840707965
real,real_baseline,LogisticRegression,50,70/30,0.4822222222222222,0.47874720357941836,0.507289032869785
synthetic,GCS,DecisionTree,50,70/30,0.5022222222222222,0.4909090909090909,0.5021333754740834
synthetic,GCS,RandomForest,50,70/30,0.5155555555555555,0.49537037037037035,0.5206127528445006
synthetic,GCS,LogisticRegression,50,70/30,0.5,0.5140388768898488,0.5272005372945638
synthetic,CTGAN,DecisionTree,50,70/30,0.4866666666666667,0.36712328767123287,0.48583675726927933
synthetic,CTGAN,RandomForest,50,70/30,0.4955555555555556,0.03404255319148936,0.4948048356510746
synthetic,CTGAN,LogisticRegression,50,70/30,0.5,0.0,0.4952986725663717
synthetic,TVAE,DecisionTree,50,70/30,0.4888888888888889,0.46511627906976744,0.4887010113780025
synthetic,TVAE,RandomForest,50,70/30,0.48444444444444446,0.40512820512820513,0.4960493046776233
synthetic,TVAE,LogisticRegression,50,70/30,0.5066666666666667,0.4393939393939394,0.5046025600505688
